timestamp,node_id,gpu_id,temp_c,power_w,gpu_util,mem_util,fan_pct,throttle_flag,ecc_errors,pcie_replay,xid_errors,nvlink_crc,ib_crc,packet_drops,nccl_latency_ms,rack_power_kw,pdu_current_a,coolant_flow_lpm,coolant_pressure_psi,coolant_supply_c,coolant_return_c,job_queue_depth,pod_restarts,oom_events,storage_iops,network_tx_gbps,tenant_id,job_id
t0000,gpu-node-00,0,60.9,172.24,15.37,11.09,44.7,0,0,0,0,0,0,0,9.83,48.01,134.1,42.46,35.46,20.01,25.75,2,0,0,100,20,tenant-0,job-0
t0000,gpu-node-00,1,67.61,204.01,38.02,61.35,42.48,0,0,0,0,0,0,0,9.83,52.24,138.71,41.56,32.55,20.67,26.56,2,0,0,100,20,tenant-0,job-0
t0000,gpu-node-00,2,72.24,220.52,52.3,42.63,44.13,0,0,0,0,0,0,0,9.83,51.72,135.79,43.51,32.82,20.14,26.67,2,0,0,100,20,tenant-0,job-0
t0000,gpu-node-00,3,68.25,207.47,37.26,40.09,43.89,0,0,0,0,0,0,0,9.83,48.0,135.03,40.5,34.54,19.42,25.15,2,0,0,100,20,tenant-0,job-0
t0000,gpu-node-01,0,66.38,190.89,42.18,46.36,49.18,0,0,0,0,0,0,0,8.46,51.39,139.16,41.96,34.51,19.95,26.46,2,0,0,100,20,tenant-1,job-0
t0000,gpu-node-01,1,67.87,212.28,53.12,20.92,42.29,0,0,0,0,0,0,0,8.46,53.7,140.79,42.73,33.5,19.74,26.11,2,0,0,100,20,tenant-1,job-0
t0000,gpu-node-01,2,59.84,170.15,32.37,24.13,37.0,0,0,0,0,0,0,0,8.46,49.02,134.29,44.18,33.75,19.71,26.06,2,0,0,100,20,tenant-1,job-0
t0000,gpu-node-01,3,62.48,203.06,39.99,35.91,34.17,0,0,0,0,0,0,0,8.46,49.43,130.79,43.3,34.67,19.8,25.29,2,0,0,100,20,tenant-1,job-0
t0000,gpu-node-02,0,67.16,214.97,41.06,49.28,45.6,0,0,0,0,0,0,0,9.65,50.49,140.2,43.66,32.93,19.86,25.78,2,0,0,100,20,tenant-2,job-0
t0000,gpu-node-02,1,60.48,174.64,28.02,29.55,35.43,0,0,0,0,0,0,0,9.65,50.08,136.15,44.43,33.15,20.09,25.74,2,0,0,100,20,tenant-2,job-0
